Semilla Demanda BeneficioReal Tiempo
1234 EQUILIBRIUM 40.300000000000004 81.6
1234 RUSH_HOUR 55.74 52.0
242359 EQUILIBRIUM 46.78000000000001 46.0
242359 RUSH_HOUR 62.120000000000005 45.0
986 EQUILIBRIUM 44.18 29.4
986 RUSH_HOUR 45.019999999999996 29.4
5437 EQUILIBRIUM 39.419999999999995 32.6
5437 RUSH_HOUR 55.46 51.4
72463 EQUILIBRIUM 35.980000000000004 24.0
72463 RUSH_HOUR 37.66 25.6
97856 EQUILIBRIUM 50.82 31.8
97856 RUSH_HOUR 64.12 25.4
7105 EQUILIBRIUM 41.8 28.8
7105 RUSH_HOUR 48.82 34.4
3189 EQUILIBRIUM 51.89999999999999 27.6
3189 RUSH_HOUR 71.89999999999999 16.6
13594 EQUILIBRIUM 40.94 16.4
13594 RUSH_HOUR 41.58 16.2
4 EQUILIBRIUM 34.5 20.4
4 RUSH_HOUR 37.4 16.2
