MaxIts It/paso K lambda BeneficiosMedios
5000 1 1 0.1 77.1
5000 1 1 0.01 76.42
5000 1 1 0.001 76.67999999999999
5000 1 1 1.0E-4 77.0
5000 1 1 1.0E-5 76.76
5000 1 2 0.1 76.97999999999999
5000 1 2 0.01 76.64
5000 1 2 0.001 76.06
5000 1 2 1.0E-4 74.76
5000 1 2 1.0E-5 73.32000000000001
5000 1 3 0.1 76.25999999999999
5000 1 3 0.01 75.64
5000 1 3 0.001 74.52000000000001
5000 1 3 1.0E-4 69.38
5000 1 3 1.0E-5 66.76
5000 1 4 0.1 76.38
5000 1 4 0.01 75.17999999999999
5000 1 4 0.001 71.5
5000 1 4 1.0E-4 62.86
5000 1 4 1.0E-5 60.379999999999995
5000 1 5 0.1 77.02000000000001
5000 1 5 0.01 74.56
5000 1 5 0.001 67.86
5000 1 5 1.0E-4 55.81999999999999
5000 1 5 1.0E-5 55.6
5000 1 6 0.1 75.7
5000 1 6 0.01 73.28
5000 1 6 0.001 68.62
5000 1 6 1.0E-4 51.24000000000001
5000 1 6 1.0E-5 51.2
5000 1 7 0.1 76.08
5000 1 7 0.01 74.29999999999998
5000 1 7 0.001 61.93999999999998
5000 1 7 1.0E-4 48.99999999999999
5000 1 7 1.0E-5 47.8
5000 1 8 0.1 76.22000000000001
5000 1 8 0.01 73.05999999999999
5000 1 8 0.001 61.339999999999996
5000 1 8 1.0E-4 43.78
5000 1 8 1.0E-5 45.7
5000 1 9 0.1 75.74
5000 1 9 0.01 71.52000000000001
5000 1 9 0.001 60.67999999999999
5000 1 9 1.0E-4 41.96
5000 1 9 1.0E-5 42.17999999999999
5000 1 10 0.1 74.84
5000 1 10 0.01 71.55999999999999
5000 1 10 0.001 57.96
5000 1 10 1.0E-4 40.3
5000 1 10 1.0E-5 41.42
5000 1 15 0.1 75.7
5000 1 15 0.01 67.74
5000 1 15 0.001 53.11999999999999
5000 1 15 1.0E-4 38.739999999999995
5000 1 15 1.0E-5 37.82000000000001
5000 1 20 0.1 74.64
5000 1 20 0.01 67.42
5000 1 20 0.001 48.300000000000004
5000 1 20 1.0E-4 37.82
5000 1 20 1.0E-5 37.059999999999995
5000 1 25 0.1 74.36
5000 1 25 0.01 63.500000000000014
5000 1 25 0.001 48.56
5000 1 25 1.0E-4 36.68
