Semilla Estaciones Tiempo(s)
1234 25 0.06475
1234 50 0.12025
1234 75 0.3995
1234 100 1.115625
1234 125 2.7455
1234 150 8.838875
242359 25 0.017375
242359 50 0.09625
242359 75 0.38825
242359 100 0.96175
242359 125 2.183625
242359 150 9.74275
986 25 0.015125
986 50 0.11825
986 75 0.332875
986 100 0.981125
986 125 2.818625
986 150 8.669125
5437 25 0.026
5437 50 0.121
5437 75 0.4375
5437 100 1.039625
5437 125 2.431375
5437 150 11.23875
72463 25 0.334375
72463 50 0.318375
72463 75 0.47425
72463 100 0.87075
72463 125 3.129375
72463 150 10.606375
97856 25 0.390625
97856 50 0.179625
97856 75 0.395375
97856 100 1.178625
97856 125 1.536125
97856 150 7.697875
7105 25 1.061875
7105 50 0.26675
7105 75 0.390375
7105 100 0.833375
7105 125 1.99825
7105 150 8.708875
3189 25 1.658875
3189 50 0.109125
3189 75 0.467625
3189 100 0.986375
3189 125 2.272
3189 150 11.325625
13594 25 0.153125
13594 50 0.73125
13594 75 0.778875
13594 100 1.340375
13594 125 1.82675
13594 150 8.28275
4 25 0.011125
4 50 0.373375
4 75 0.29825
4 100 0.8445
4 125 1.958125
4 150 8.377375

